ROTACI”N DUANA;;;;;;
MEDICAMENTO;MOLECULA;PROMEDIO MES;STOCK FARMACIA;PEDIDO 60 DIAS;;STOCK BODEGA
JERINGA 60 ML PUNTA CATETER    REF:309620 1 UNIDAD | CAJA X 1. LABORATORIO BECTON DICKINSON;JERINGAS QUIRURGICAS;70;79;61;;56
JEVITY 2 SOLUCION ORAL | TARRO X 1500ML. ABBOTT;NUTRICION ENTERAL;30;0;60;;121
JEVITY  2 SUSPENSION ORAL | TARRO X 1500ML. ABBOTT;NUTRICION ENTERAL;48;72;24;;248
JEVITY 2 SUSPENSION ORAL | TARRO X 500mL. ABBOTT;NUTRICION ENTERAL;93;6;180;;202
KALETRA 200+50mg TABLETA | FRASCO X 120. ABBVIE SAS;LOPINAVIR+RITONAVIR;3060;4320;1800;;14515
KAPTIN  300MG CAPSULA | CAJA X 100. LEGRAND;GABAPENTINA;2488;3950;1026;;152350
KAPTIN 400mg CAPSULA | CAJA X 100. LEGRAND;GABAPENTINA;1470;2405;535;;62493
KATOVIT E MULTIVITAMINAS JARABE | FRASCO X 240ML. BIOQUIFAR;MULTIVITAMINAS + MINERALES;2;4;0;;165
KATOVIT SD MULTIVITAMINAS TABLETA | CAJA X 30. BIOQUIFAR;MULTIVITAMINAS + MINERALES;195;510;0;;23070
KEPPRA  500 MG TABLETA | CAJA X 30. GLAXO;LEVETIRACETAM;510;510;510;;960
KESPIRONA  100MG TABLETA | CAJA X 30. DATA HEIMDALL;ESPIRONOLACTONA;210;365;55;;7160
KETOCONAZOL 200mg TABLETA | CAJA X 10. GEN-FAR S.A;KETOCONAZOL;16;165;0;;9760
KETOCONAZOL  200MG TABLETA | CAJA X 10. LAPROFF;KETOCONAZOL;16;29;3;;0
KETOCONAZOL 2% CREMA | TUBO X 30GR. GEN-FAR S.A;KETOCONAZOL;27;41;13;;2464
KETOTIFENO 1MG/5ML JARABE | FRASCO X 100ML. LAPROFF;KETOTIFENO;27;47;7;;4224
KETOTIFENO 1MG TABLETA | CAJA X 30. GEN-FAR S.A;KETOTIFENO;136;243;29;;27350
KETOTIFENO 1MG TABLETA | CAJA X 30. LAPROFF;KETOTIFENO;50;0;100;;0
LAGRICEL 0.4% X 0.5ML SOLUCION OFTALMICAS | CAJA X 1. SOPHIA;HIALURONATO DE SODIO;5;0;10;;0
LAGRIKOV 0.5% SOLUCION OFTALMICAS | FRASCO X 15mL. BLASKOV;CARBOXIMETILCELULOSA SODICA;299;142;456;;11430
LAMETEC 100mg TABLETA | CAJA X 30. VITALCHEM;LAMOTRIGINA;758;1435;81;;57390
LAMETEC 50MG TABLETA | CAJA X 30. VITALCHEM;LAMOTRIGINA;323;645;1;;18220
LAMIVUDINA 10MG/ML SOLUCION ORAL | FRASCO X 240ML. HUMAX;LAMIVUDINA;0;1;0;;63
LAMIVUDINA 150mg TABLETA O CAPSULA | CAJA X 60. HUMAX;LAMIVUDINA;690;1340;40;;3578
LAMIVUDINA+ZIDOVUDINA 150/300mg TABLETA | CAJA X 60. HUMAX;LAMIVUDINA + ZIDOVUDINA;2160;3510;810;;6305
LANCETAS ON CALL ADVANCED 1 UNIDAD | CAJA X 100. DUMIAN MEDICAL S.A.S;TIRAS REACTIVAS;1;2;0;;0
LANITOP 0.1MG TABLETA | CAJA X 20. ROCHE;BETAMETILDIGOXINA;45;105;0;;5574
LANSOPRAZOL 30MG C¡PSULA | CAJA X 14. GEN-FAR S.A;LANSOPRAZOL;930;1242;618;;486093
LANTUS 100UI/ml SOLUCION INYECTABLE | FRASCO X 10ml. SANOFI-AVENTIS;GLARGINA INSULINA;24;0;48;;32
LANTUS SOLOSTAR 100UI/ML SOLUCION INYECTABLE | FRASCO X 3ML. SANOFI-AVENTIS;GLARGINA INSULINA;11;6;16;;58
LASTACAFT 2.5mg/ML SOLUCION OFTALMICAS | FRASCO X 3ml. ALLERGAN;ALCAFTADINE;0;1;0;;42
LEFLAVA 20MG TABLETA | CAJA X 30. VITALCHEM;LEFLUNOMIDA;825;1540;110;;47050
LEGABIN  300mg CAPSULA | CAJA X 30. LEGRAND;PREGABALINA;30;150;0;;570
LEUCOTREN  10 MG TABLETA | CAJA X 30. GARMISCH;MONTELUKAST SODICO;1917;3871;0;;214840
LEUCOTREN 4MG TABLETA | CAJA X 30. GARMISCH;MONTELUKAST SODICO;75;220;0;;20230
LEUCOTREN 5MG TABLETA | CAJA X 30. GARMISCH;MONTELUKAST SODICO;183;375;0;;51035
LEVEMIR 100UI/3ML SOLUCION INYECTABLE | CAJA X 5 CARTUCHO. NOVONORDISK;INSULINA DETEMIR;10;8;12;;352
LEVETIRACETAM 1.000 MG TABLETA | CAJA X 30. GEN-FAR S.A;LEVETIRACETAM;0;30;0;;5550
LEVOCETIRIZINA 5MG TABLETA | CAJA X 10. LA SANTE;LEVOCETIRIZINA;15;0;30;;1030
LEVOFLOXACINA 500MG TABLETA CON RECUBIER | CAJA X 14. GEN-FAR S.A;LEVOFLOXACINA;23;39;7;;5804
LEVOMEPROMAZINA 100MG TABLETA | CAJA X 100. HUMAX;LEVOMEPROMAZINA;173;480;0;;12670
LEVOMEPROMAZINA 25MG TABLETA | CAJA X 100. HUMAX;LEVOMEPROMAZINA;715;970;460;;25510
LEVOMEPROMAZINA 4% SOLUCION ORAL | FRASCO X 20ML. HUMAX;LEVOMEPROMAZINA;30;43;17;;970
LEVOPRAZ 5 MG TABLETA | CAJA X 10. GARMISCH;LEVOCETIRIZINA;45;50;40;;1130
LEVOTIROXINA SODICA 100mg TABLETA | CAJA X 150. SIEGFRIED;LEVOTIROXINA SODICA;8539;16042;1036;;378585
LEVOTIROXINA SODICA 50MG TABLETA | CAJA X 150. SIEGFRIED;LEVOTIROXINA SODICA;19637;35144;4130;;888400
LEVOTIROXINA SODICA  75 MCG TABLETA | CAJA X 50. TECNOQUIMICAS;LEVOTIROXINA SODICA;360;580;140;;268701
LIDOPROCTO 60+5 MG SUPOSITORIO | CAJA X 10. ROPSOHN;LIDOCAINA+CORTICOIDE;60;214;0;;1295
LIDOPROCTO 60+5 MG UNGUENTO PROCTOLOGICO | TUBO X 10GR. ROPSOHN;LIDOCAINA+CORTICOIDE;43;66;20;;3097
LIGARIL D 500MG TABLETA | CAJA X 250. BIOQUIFAR;DIPIRONA;8;10;6;;0
LIORESAL 10mg TABLETA | CAJA X 50. NOVARTIS;BACLOFENO;615;620;610;;3210
LIPITOR  20 MG TABLETA | CAJA X 30. PFIZER;ATORVASTATINA;0;60;0;;990
LIRODERM 10% LOCION | FRASCO X 60ml. BIOQUIFAR;CROTAMITON;6;0;12;;0
LISIPRIL 20MG TABLETA | CAJA X 10. LAFRANCOL;LISINOPRIL;60;80;40;;170
LITOMEN 300mg TABLETA | CAJA X 10. BEST LTDA;URSODESOXICOLICO;405;570;240;;7409
LONAZET 300MG TABLETA | CAJA X 100. LEGRAND;OXCARBAZEPINA;345;830;0;;11190
LONAZET 600MG TABLETA | CAJA X 100. LEGRAND;OXCARBAZEPINA;415;770;60;;1420
LOPERAMIDA 2mg TABLETA | CAJA X 240. ECAR;LOPERAMIDA;290;660;0;;32845
LORATADINA 10mg TABLETA | CAJA X 300. LAPROFF;LORATADINA;1951;3678;224;;470460
LORATADINA 5MG/5ML JARABE | FRASCO X 100. WINTHROOP;LORATADINA;39;89;0;;2625
LORAZEPAM 2mg TABLETA | CAJA X 30. LAPROFF;LORAZEPAM;668;0;1336;;90
LORAZEPAM 2MG TABLETA | CAJA X 30. WINTHROOP;LORAZEPAN;307;1546;0;;55839
LOSARTAN 50 MG TABLETA | CAJA X 900. GEN-FAR S.A;LOSARTAN POTASICO;3470;6500;440;;3856490
LOSEC MUPS 10mg TABLETA DE LIBERACION PROGRAMADA | CAJA X 14. ASTRA ZENECA;OMEPRAZOL;84;112;56;;280
LOSEC MUPS 20mg TABLETA DE LIBERACION PROGRAMADA | CAJA X 14. ASTRA ZENECA;OMEPRAZOL;28;28;28;;168
LOTESOFT 5MG SOLUCION OFTALMICAS | FRASCO X 5ML. SCANDINAVIA;LOTEPREDNOL ETABONATO;6;6;6;;25
LOUTEN 0,05mg/mL  SOLUCION OFTALMICAS | FRASCO X 2.5mL. SCANDINAVIA;LATANOPROST;184;328;40;;8100
LOVASTATINA 20 MG TABLETA | CAJA X 200. LABINCO;LOVASTATINA;475;2300;0;;480540
LOVASTATINA 20mg TABLETA | CAJA X 30. ROPSOHN;LOVASTATINA;95;360;0;;200
LUMIGAN 0.3% SOLUCION OFTALMICAS | FRASCO X 3mL. ALLERGAN;BIMATOPROST;2;3;1;;183
LUVOX 100mg TABLETA | CAJA X 30. ABBOTT;FLUVOXAMINA;210;180;240;;3105
MACRODANTINA 50MG TABLETA O CAPSULA | CAJA X 40. BOEHRINGER;NITROFURANTOINA MACROCRISTALES;15;120;0;;680
MAGNESIUM 400 MG  TABLETA | CAJA X 100. VARIOS E IMPORTADOS;OXIDO DE MAGNESIO;100;200;0;;200
MEBENDAZOL 100MG/5ML SUSPENSION ORAL | FRASCO X 30ML. GEN-FAR S.A;MEBENDAZOL;0;2;0;;1135
MEBENDAZOL 100mg TABLETA | CAJA X 60. GEN-FAR S.A;MEBENDAZOL;3;20;0;;2468
MEDROL 4MG TABLETA | CAJA X 50. PFIZER;METILPRENISOLONA;30;100;0;;3230
MEDROXIPROGESTERONA  5mg TABLETA | CAJA X 30. LAFRANCOL;MEDROXIPROGESTERONA ACETATO;427;621;233;;14332
MELATONINA 3mg TABLETA | FRASCO X 60. VARIOS E IMPORTADOS;MELATONINA;75;90;60;;90
MELOXICAM 15MG TABLETA | CAJA X 10. LA SANTE;MELOXICAM;525;1230;0;;0
MELOXICAM 7.5 MG TABLETA | CAJA X 10. LA SANTE;MELOXICAM;4282;0;8564;;140910
MESAX 500 MG TABLETA CON RECUBIER | CAJA X 100. LABINCO;MESALAZINA;130;0;260;;20
METFORMINA 850MG TABLETA | CAJA X 900. GEN-FAR S.A;METFORMINA;1688;3645;0;;5341924
METIMAZOL 5mg TABLETA | CAJA X 100. LAFRANCOL;METIMAZOL;938;1835;41;;35420
METOCLOPRAMIDA  10mg/2mL SOLUCION INYECTABLE | CAJA X 100. FRESENIUS;METOCLOPRAMIDA;0;6;0;;77
METOCLOPRAMIDA 10MG/2ML SOLUCION INYECTABLE | CAJA X 10. VITALIS;METOCLOPRAMIDA;0;2;0;;75135
METOCLOPRAMIDA 10mg TABLETA | CAJA X 270. BUSSIE;METOCLOPRAMIDA;0;1620;0;;207841
METOCLOPRAMIDA 10mg TABLETA | CAJA X 300. LAPROFF;METOCLOPRAMIDA;1644;1963;1325;;333
METOCLOPRAMIDA 4mg/mL SOLUCION ORAL | FRASCO X 30mL. BUSSIE;METOCLOPRAMIDA;9;20;0;;3951
METOPROLOL TARTRATO 50MG TABLETA O GRAGEA | CAJA X 300. WINTHROOP;METOPROLOL  TARTRATO;0;1500;0;;1272481
METOTREXATO 2.5MG TABLETA | CAJA X 100. TECNOFARMA;METOTREXATE;1517;1982;1052;;141130
METRONIDAZOL 250 MG X 120 ML SUSPENSION ORAL | FRASCO X 1. GEN-FAR S.A;METRONIDAZOL;14;15;13;;1171
METRONIDAZOL 500mg OVULO O TABLETA VAGINAL | CAJA X 200. PROCAPS;METRONIDAZOL;365;1457;0;;27226
METRONIDAZOL 500MG TABLETA | CAJA X 100. GEN-FAR S.A;METRONIDAZOL;592;300;884;;57910
METROZIN NISTATINA 500MG+100000UI OVULO O TABLETA VAGINAL | CAJA X 10. PROCAPS;METRONIDAZOL+NISTATINA;1;16;0;;5280
MICARDIS 80MG TABLETA | CAJA X 28. BOEHRINGER;TELMISARTAN;28;56;0;;1498
MICOFENOLATO 500 MG TABLETA CON RECUBIER | CAJA X 50. WINTHROOP;MICOFELONATO;70;460;0;;3170
MICOSTATIN 500.000 UI TABLETA RECUBIERTA | CAJA X 50. BRISTOL;NISTATINA;90;30;150;;250
MICOTRAZOL 100MG CAPSULA | CAJA X 4. BIOQUIFAR;ITRACONAZOL;84;31;137;;2
MICROPORE 2PULG. COLOR PIEL 3M REF: 1533-2P CX6 1 UNIDAD | . X 1. LABORATORIO 3M DECOLOMBIA;CURACIONES QUIRURGICAS;26;45;7;;1727
MICROPORE 2pulg. COLOR PIEL CX6 1 UNIDAD | . X 1. TECNOQUIMICAS S.A;CURACIONES QUIRURGICAS;22;46;0;;7459
MICROPORE COLOR PIEL 1PULG REF:533-1 P 1 UNIDAD | CAJA X 12. LABORATORIO 3M DECOLOMBIA;CURACIONES QUIRURGICAS;1;2;0;;825
MILPAX PLUS MENTA 0,633G+2,39G/100ML SUSPENSION ORAL | FRASCO X 355ML. FARMA;HIDROXIDO DE ALUMINIO+CARBONATO DE MAGNESIO+ALGINATO DE SODIO;3;5;1;;227
MIOFLEX 750 MG TABLETA | CAJA X 100. LABINCO;METOCARBAMOL;3231;6202;260;;175630
MIO RELAX 2MG TABLETA | CAJA X 20. BIOQUIFAR;TIZANIDINA;5;10;0;;60
MIRAPEX ER 0.375 MG TABLETA DE LIBERACION PROGRAMADA | CAJA X 10. BOEHRINGER;PRAMIPEXOL;30;60;0;;1040
MIRAPEX ER 0.75MG TABLETA DE LIBERACION PROGRAMADA | CAJA X 10. BOEHRINGER;PRAMIPEXOL;135;210;60;;2240
MIRAPEX ER 1.5MG TABLETA DE LIBERACION PROGRAMADA | CAJA X 30. BOEHRINGER;PRAMIPEXOL;60;0;120;;1120
MIRAPEX ER 3.0MG TABLETA DE LIBERACION PROGRAMADA | CAJA X 30. BOEHRINGER;PRAMIPEXOL;105;120;90;;1650
MIRAPEX ER 4.5MG TABLETA DE LIBERACION PROGRAMADA | CAJA X 30. BOEHRINGER;PRAMIPEXOL;15;30;0;;870
MODUSIK A 1MG/ML SOLUCION OFTALMICAS | FRASCO X 5ML. SOPHIA;CICLOSPORINA;5;14;0;;53
MOMETASONA 0.1% CREMA | TUBO X 15GR. GEN-FAR S.A;MOMETASONA;37;83;0;;1378
MOMETASONA 0.1% LOCION | FRASCO X 30ML. GEN-FAR S.A;MOMETASONA;2;5;0;;635
MOMETASYN 140 DOSIS ADULTO 0.05% SPRAY NASAL | FRASCO X 18g. SYNTHESIS;MOMETASONA;161;270;52;;4144
MOMETASYN 60 DOSIS PEDIATRICO 0.05% SPRAY NASAL | FRASCO X 10GR. SYNTHESIS;MOMETASONA;40;84;0;;1242
MORFINA 3% SOLUCION ORAL | FRASCO X 30mL. MINSALUD;MORFINA;3;0;6;;0
MOXIFLOXACINA 400MG TABLETA CON RECUBIER | CAJA X 7. LA SANTE;MOXIFLOXACINO;14;49;0;;28
MULTAQ 400MG TABLETA CON RECUBIER | CAJA X 30. SANOFI-AVENTIS;DRONEDARONA;60;150;0;;420
MYCOKEM  500 MG TABLETA CON RECUBIER | CAJA X 10. NEXT PHARMA SOURCING S.A.S.;MICOFELONATO;305;0;610;;390
MYFORTIC 180mg TABLETA CON RECUBIER | CAJA X 120. NOVARTIS;MICOFELONATO;15;150;0;;120
MYFORTIC 360MG TABLETA CON RECUBIER | CAJA X 120. NOVARTIS;MICOFELONATO;1230;1110;1350;;0
NABUMEX 250MCG  BUCAL AEROSOL | FRASCO X 200DOSIS. CHALVER;BECLOMETASONA DIPROPIONATO;44;69;19;;5498
NABUMEX  50MCG BUCAL AEROSOL | FRASCO X 200 DOSIS. CHALVER;BECLOMETASONA DIPROPIONATO;19;19;19;;12743
N-ACETILCISTEINA 200MG POLVO PARA DISOLVER | CAJA X 30. LA SANTE;ACETILCISTEINA;1846;3404;288;;72839
NAPROXENO  125MG/5ML JARABE | FRASCO X 80ML. JQ LABORATORIOS;NAPROXENO;2;7;0;;563
NAPROXENO 250MG TABLETA O CAPSULA | CAJA X 300. WINTHROOP;NAPROXENO;3281;5991;571;;307488
NAPROXENO 500mg TABLETA | CAJA X 10. GEN-FAR S.A;NAPROXENO;12;91;0;;55733
N-BUTIL BROMURO HIOSCINA 20mg/mL SOLUCION INYECTABLE | CAJA X 10. PROCAPS;HIOSCINA BUTILBROMURO;0;20;0;;143
NEPRO AP 237 ML - 8 OZ LIQUIDO | CAJA X 24. ABBOTT;NUTRICION ENTERAL;15;60;0;;0
NEUPREL 75 MG CAPSULA | CAJA X 60. EUROPACK;PREGABALINA;3700;7390;10;;155220
NEVIRAPINA 200MG TABLETA | CAJA X 60. HUMAX;NEVIRAPINA;360;560;160;;5770
NEVITEN 5MG TABLETA | CAJA X 30. GARMISCH;NEBIVOLOL;0;30;0;;4630
NIFEDIPINO 10MG C¡PSULA | CAJA X 30. GEN-FAR S.A;NIFEDIPINO;38;0;76;;460
NIFEDIPINO RETARD 30 MG TABLETA O CAPSULA DE LIBERACION | CAJA X 300. EXPOFARMA;NIFEDIPINO;708;1445;0;;139890
NIMODIPINA 30 MG TABLETA O CAPSULA | CAJA X 250. EXPOFARMA;NIMODIPINA;383;1910;0;;70010
NISTATINA 100.000UI SUSPENSION ORAL | FRASCO X 60ML. LABINCO;NISTATINA;26;61;0;;4978
NISTATINA + OXIDO DE ZINC  (2+20)g/100g UNGUENTO | TUBO X 40g. PROCAPS;NISTATINA+OXIDO DE ZINC;58;126;0;;1702
NITROFURANTOINA 100mg TABLETA | CAJA X 100. AVANPHARMA;NITROFURANTOINA MACROCRISTALES;892;2759;0;;139914
NITROZIN 2% CREMA | TUBO X 40g. AVANPHARMA;NITROFURAZONA;0;2;0;;0
NIVECOL 40MG TABLETA | CAJA X 30. GARMISCH;ATORVASTATINA;300;300;300;;8750
NORFLOXACINO 400MG TABLETA O CAPSULA | CAJA X 14. GEN-FAR S.A;NORFLOXACINA;137;238;36;;12297
NORTRICOL 200MG CAPSULA | CAJA X 20. SIEGFRIED;FENOFIBRATO;180;10;350;;10
NORTRICOL 200MG TABLETA | CAJA X 10. SIEGFRIED;FENOFIBRATO;60;280;0;;11950
NORVIR 100mg TABLETA | CAJA X 30. ABBVIE SAS;RITONAVIR;285;0;570;;0
NOVATRIX PROTECTOR CUTANEO - POLVO PARA DISOLVER | BOLSA X 50GR. VARIOS E IMPORTADOS;DIOXIDO DE TITANIO+ OXIDO ZINC;0;2;0;;0
NOVOLIN N  100UI/10ML SOLUCION INYECTABLE | CAJA X 1. NOVONORDISK;INSULINA HUMANA;5;12;0;;4574
NOVOLIN R 100UI/mL  SOLUCION INYECTABLE | FRASCO X 10ml. NOVONORDISK;INSULINA ZINC CRISTALINA;1;5;0;;1384
NOVORAPID FLEXPEN 100UI/3ml SOLUCION INYECTABLE | CAJA X 5. NOVONORDISK;INSULINA ANALOGA DE ACCION CORTA;6;15;0;;149
NUTREN 1.5 1000mL SUSPENSION ORAL | CAJA X 4 BOLSAS. BAXTER;NUTRICION ENTERAL;31;62;0;;692
NUTREN VAINILLA TETRA PRISMA 1.0 (250ml) SUSPENSION ORAL | CAJA X 24. BAXTER;NUTRICION ENTERAL;150;12;288;;93
OBAX 10 MG TABLETA | CAJA X 20. HUMAX;CLOBAZAM;330;695;0;;4330
ODRANAL 150MG TABLETA DE LIBERACION PROGRAMADA | CAJA X 30. TECNOFARMA;BUPROPION;30;60;0;;2700
OFTAMOX 0.5% SOLUCION OFTALMICAS | FRASCO X 5ML. TECNOQUIMICAS;MOXIFLOXACINO;7;10;4;;206
OLAZAP 10MG TABLETA | CAJA X 30. GARMISCH;OLANZAPINA;255;515;0;;16086
OLAZAP 5mg TABLETA | CAJA X 15. GARMISCH;OLANZAPINA;405;670;140;;16137
OLMETEC 20MG TABLETA CON RECUBIER | CAJA X 30. PFIZER;OLMESARTAN;60;120;0;;690
OLMETECANLO 40MG+5MG TABLETA | CAJA X 30. PFIZER;OLMESARTAN+AMLODIPINO;30;30;30;;0
OLVISION 0.1% SOLUCION OFTALMICAS | FRASCO X 5ML. VITALIS;OLOPATADINA;47;85;9;;612
OMEPRAZOL 20mg CAPSULA | CAJA X 300. LEGRAND;OMEPRAZOL;158;0;316;;80
OMEPRAZOL 20 MG CAPSULA | CAJA X 840. TAKEDA;OMEPRAZOL;9230;12801;5659;;2963755
ONDAX 8mg TABLETA | CAJA X 10. GARMISCH;ONDASETRON;90;180;0;;14500
OPHARCIM  3MG/1 ML SOLUCION OFTALMICAS | FRASCO X 5ML. COMERLAT;GENTAMICINA (SULFATO);5;20;0;;3295
OPTICAM 0.03% SOLUCION OFTALMICAS | FRASCO X 5ML. ESPECIALIDADES OFT;MELOXICAM;2;1;3;;63
OPTICLUDE ADULTO CX20 3M 1 PARCHE | CAJA X 20. LABORATORIO 3M DECOLOMBIA;MATERIAL OFTALMOLOGICO;0;60;0;;1675
OPTICLUDE JUNIOR  . PARCHES | CAJA X 20. LABORATORIO 3M DECOLOMBIA;MATERIAL OFTALMOLOGICO;120;150;90;;925
ORLISTAT 120MG CAPSULA | CAJA X 21. TECNOQUIMICAS;ORLISTAT;180;216;144;;5089
OSMOTEARS 1.4% SOLUCION OFTALMICAS | FRASCO X 15ML. COMERLAT;ALCOHOL POLIVINILICO;153;63;243;;6786
OSTEOCALCIT 150 MG TABLETA | CAJA X 1. QUIMICA PATRIC;ACIDO IBANDRONICO;1;39;0;;0
OTOGLICAR 1% SOLUCION OTICA | FRASCO X 30ml. GERCO;GLICERINA CARBONATADA;56;122;0;;3066
PANAL CONTENT BASIC TALLA L PAQUETE X 8 UNIDAD | CAJA X 1. TECNOQUIMICAS S.A;PA√êALES PARA INCONTINENCIA;116;128;104;;133
PANAL CONTENT BASIC TALLA M PAQUETE 8 UNIDAD | CAJA X 1. TECNOQUIMICAS S.A;PA√êALES PARA INCONTINENCIA;32;40;24;;326
PANAL CONTENT EXTRA TALLA L PAQ 8 UNIDAD | CAJA X 10. TECNOQUIMICAS S.A;PA√êALES PARA INCONTINENCIA;15;44;0;;397
PANAL CONTENT EXTRA TALLA M PAQ 8 UNIDAD | CAJA X 10. TECNOQUIMICAS S.A;PA√êALES PARA INCONTINENCIA;31;62;0;;147
PANAL HUGGUIES LITTE SWIMMERS PISINA PX11 1 UNIDAD | . X 1. DROGUERIA SAN JORGE;ASEO PERSONAL;1;2;0;;0
PANAL TENA SLIP TALLA L 1 PAQUETE | . X 21 UNDS. DROGUERIA SAN JORGE;PA–ALES PARA INCONTINENCIA;5;13;0;;136
PANAL TENA SLIP TALLA M 1 PAQUETE | . X 21 UNDS. DROGUERIA SAN JORGE;PA–ALES PARA INCONTINENCIA;9;9;9;;2
PANAL TENA SLIP TALLA S  1 UNIDAD | CAJA X 21. DROGUERIA SAN JORGE;PA–ALES PARA INCONTINENCIA;16;10;22;;29
PANAL WINNY GOD ETAPA 4 PX22 1 UNIDAD | . X 1. CHICCO DE COLOMBIA S.A.;PA–ALES PARA INCONTINENCIA;5;1;9;;11
PANAL WINNY GOD ETAPA 6 1 PAQUETE | . X 20 UNDS. TECNOQUIMICAS S.A;PA√êALES PARA INCONTINENCIA;7;13;1;;1
PANAL WINNY ULTR SEC MORADO ETAPA 4 UNIDAD | BOLSA X 30. DROGUERIA SAN JORGE;PA–ALES PARA INCONTINENCIA;0;6;0;;10
PANITOS HUMEDOS WINNY 1 PAQUETE | . X 50 UNDS. TECNOQUIMICAS S.A;PA√êALES PARA INCONTINENCIA;45;72;18;;73
PAROXETINA 20MG TABLETA | CAJA X 30. ECAR;PAROXETINA;385;945;0;;26580
PASEDOL 50MG TABLETA | CAJA X 300. ECAR;DIMENHIDRINATO;415;1038;0;;53338
PASTA LASSAR 25/12.5 GR CREMA | POTE X 100 GR. QUIFARMA;OXIDO DE ZINC;125;229;21;;2006
PENICILINA G BENZATI 1.200.000UI POLVO PARA INYECCION | CAJA X 10. VITALIS;PENICILINA G BENZATINICA;4;23;0;;4837
PENICILINA G BENZATINICA 2.400.000UI POLVO PARA INYECCION | CAJA X 10. VITALIS;PENICILINA G BENZATINICA;5;19;0;;2394
PENICILINA G PROCAINICA 800.000 UI POLVO PARA INYECCION | CAJA X 10. VITALIS;PENICILINA G PROCAINICA;0;17;0;;271
PENTASA 2g SOBRE | CAJA X 30. BIOPASS;MESALAZINA;30;60;0;;780
PENTOXIFILINA 400mg TABLETA DE LIBERACION PROGRAMADA | CAJA X 30. GEN-FAR S.A;PENTOXIFILINA;1260;2160;360;;29840
PENTOXIL 400MG TABLETA | CAJA X 100. NOVAMED;PENTOXIFILINA;225;0;450;;0
PEN VEE K 500MG TABLETA | CAJA X 100. NOVARTIS;PENICILINA FENOXIMETILICA (Y SALES);0;20;0;;68
PEPTAMEN JUNIOR 250ML SUSPENSION ORAL | CAJA X 24. BAXTER;NUTRICION ENTERAL;150;0;300;;231
PERIDON 1mg TABLETA | CAJA X 20. GARMISCH;RISPERIDONA;563;910;216;;26790
PERIDON 2mg TABLETA | CAJA X 20. GARMISCH;RISPERIDONA;870;1460;280;;51160
PILCARD 5MG TABLETA | FRASCO X 30. DUMIAN MEDICAL S.A.S;PILOCARPINA CLORHIDRATO O NITRATO;120;360;0;;240
PIPOTIAZINA 25mg/mL SOLUCION INYECTABLE | CAJA X 3. ACTIFARMA;PIPOTIAZINA PALMITATO;3;7;0;;790
PIRANTEL PAMOATO 250mg/5mL SUSPENSION ORAL | FRASCO X 15mL. GEN-FAR S.A;PIRANTEL (EMBONATO O PAMOATO);1;33;0;;2795
PIRANTEL PAMOATO 250MG TABLETA O CAPSULA | CAJA X 60. GEN-FAR S.A;PIRANTEL (EMBONATO O PAMOATO);46;75;17;;7306
PIRIDOSTIGMINA 60mg TABLETA | CAJA X 20. EUROPACK;PIRIDOSTIGMINA BROMURO;0;100;0;;11125
PIRIDOXINA 50mg TABLETA O CAPSULA | CAJA X 100. LAPROFF;PIRIDOXINA CLORHIDRATO;340;640;40;;10584
PIROXICAM 5% GEL O JALEA | TUBO X 40GR. GEN-FAR S.A;PIROXICAM;678;1250;106;;27792
PLATA SULFADIAZINA 1% CREMA | TUBO X 100g. BUSSIE;PLATA SULFADIAZINA;4;16;0;;172
PLATA SULFADIAZINA 1% CREMA | TUBO X 30g. COASPHARMA;PLATA SULFADIAZINA;6;24;0;;1844
PLAVIX 75MG TABLETA | CAJA X 28. SANOFI-AVENTIS;CLOPIDROGEL;56;112;0;;1708
PRADAXA 110mg CAPSULA | CAJA X 30. BOEHRINGER;DABIGATRAN ETEXILATO;360;420;300;;5400
PRADAXA  150MG CAPSULA | CAJA X 30. BOEHRINGER;DABIGATRAN ETEXILATO;60;180;0;;1380
PRAZOSINA 1mg TABLETA | CAJA X 300. EXPOFARMA;PRAZOSINA;235;670;0;;120165
PRED F 1% SOLUCION OFTALMICAS | FRASCO X 5mL. ALLERGAN;PREDNISOLONA;28;1;55;;920
PREDNISOLONA 5MG TABLETA | CAJA X 30. GEN-FAR S.A;PREDNISOLONA;2554;4717;391;;188325
PREDNISONA  50mg TABLETA | CAJA X 100. TECNOQUIMICAS;PREDNISONA;172;345;0;;33043
PREPARACION MAGISTRAL FCO 1 FRASCO | FRASCO X 1. VARIOS E IMPORTADOS;PREPARACION MAGISTRAL;1;1;1;;0
PRESIDERM 2% UNGUENTO | TUBO X 15G. SCANDINAVIA;MUPIROCINA;1;2;0;;60
PREZISTA 400mg TABLETA | CAJA X 60. JANSSEN;DARUNAVIR;120;0;240;;0
PREZISTA  600MG TABLETA | CAJA X 60. JANSSEN;DARUNAVIR;300;360;240;;2460
PRISTIQ 50MG TABLETA | CAJA X 14. PFIZER;DESVENLAFAXINA;14;42;0;;518
PROGENDO 100mg CAPSULA | CAJA X 30. GYNOPHARMA;PROGESTERONA;5;110;0;;450
PROGENDO 200MG CAPSULA | CAJA X 20. GYNOPHARMA;PROGESTERONA;133;335;0;;1070
PROGRAF 1MG CAPSULA | CAJA X 50. JANSSEN;TACROLIMUS;185;130;240;;200
