ROTACI”N DUANA;;;;;;
MEDICAMENTO;MOLECULA;PROMEDIO MES;STOCK FARMACIA;PEDIDO 60 DIAS;;STOCK BODEGA
APIDRA 100UI/mL  SOLUCION INYECTABLE | FRASCO X 10ml. SANOFI-AVENTIS;INSULINA GLULISINA;9;0;18;;42
APIDRA CARTUCHO (OPTICLICK) 3ML SOLUCION INYECTABLE | CAJA X 1. SANOFI-AVENTIS;INSULINA ANALOGA DE ACCION CORTA;2;4;0;;73
APLICADORES CON ALGODON PTE X 100 1 UNIDAD | . X 1. DUMIAN MEDICAL S.A.S;MATERIAL MEDICOQUIRURGICO;9;5;13;;9
APOSITO POLISKIN 10 X 12 CM (4X4.75) REF: 6641 1 UNIDAD | CAJA X 1. COVIDIEN COLOMBIA S.A;CURACIONES QUIRURGICAS;1;0;2;;600
APOSITO TRANSP. 10X12.5CM REF:6641 CX50 1 UNIDAD | . X 1. COVIDIEN COLOMBIA S.A;CURACIONES QUIRURGICAS;3;10;0;;546
APROVEL 300MG TABLETA | CAJA X 28. SANOFI-AVENTIS;IRBESARTAN;29;54;4;;1008
AQUASOL E 400UI TABLETA | CAJA X 30. PROCAPS;VITAMINA E;15;70;0;;178075
ARTRICLOX 7.5MG TABLETA | CAJA X 10. GARMISCH;MELOXICAM;1425;6210;0;;9670
ASPROMIO 20mcg AEROSOL | FRASCO X 10ml. CHALVER;IPRATROPIO BROMURO;89;51;127;;13769
ATAZANAVIR 200 MG CAPSULA | CAJA X 60. EUROPACK;ATAZANAVIR;90;120;60;;1590
ATAZANAVIR 300 MG CAPSULA | CAJA X 30. EUROPACK;ATAZANAVIR;195;420;0;;5630
ATIVAN 1mg TABLETA | CAJA X 30. PFIZER;LORAZEPAM;340;550;130;;9180
ATORVASTATINA 20MG TABLETA | CAJA X 10. GEN-FAR S.A;ATORVASTATINA;0;3300;0;;94840
ATORVASTATINA 40 MG TABLETA | CAJA X 150. GEN-FAR S.A;ATORVASTATINA;550;1770;0;;343280
ATORVAT 20MG TABLETA | CAJA X 300. DUMIAN MEDICAL S.A.S;ATORVASTATINA;3848;4735;2961;;600
ATROVENT 0.025% SOLUCION PARA INHALACION | FRASCO X 20ML. BOEHRINGER;IPRATROPIO BROMURO;1;0;2;;251
AZATIOPRINA 50 MG TABLETA | CAJA X 100. NEXT PHARMA SOURCING S.A.S.;AZATIOPRINA;776;1479;73;;31800
AZITROMICINA 200MG/5ML SUSPENSION ORAL | FRASCO X 15ML. GEN-FAR S.A;AZITROMICINA;0;9;0;;368
AZITROMICINA 500MG TABLETA | CAJA X 3. GEN-FAR S.A;AZITROMICINA;47;609;0;;56245
AZITROMICINA 500 MG TABLETA | CAJA X 3. LA SANTE;AZITROMICINA;394;152;636;;121
AZTROBAC 200MG/5ML SUSPENSION ORAL | FRASCO X 15mL. BIOQUIFAR;AZITROMICINA;0;13;0;;12
BACTRODERM BUCOFARINGEO .08G SOLUCION ORAL | FRASCO X 120ML. ECAR;YODOPOVIDONA;1;8;0;;176
BACTRODERM BUCOFARINGEO 10% SOLUCION ORAL | FRASCO X 120ML. ECAR;YODOPOVIDONA;3;25;0;;481
BAJALENGUAS DE MADERA 1 UNIDAD | CAJA X 20. PHARMEUROPEA DE COLOMBIA;MATERIAL MEDICOQUIRURGICO;3;6;0;;1604
BARACLUDE 0.5MG TABLETA | CAJA X 30. BRISTOL;ENTECAVIR;30;30;30;;240
BARRERA DE COLOSTOMIA 45 MM REF:125144 CX5 1 UNIDAD | . X 1. BRISTOL MYERS SQUIBB;BARRERA  DE COLOSTOMIA;18;30;6;;12
BARRERA DE COLOSTOMIA # 50 REF:13181 1 UNIDAD | CAJA X 5. ORDENES Y SUMINISTROS;CURACIONES QUIRURGICAS;0;6;0;;14
BARRERA DE COLOSTOMIA 57 FLEXIBLE REF.401612 CX5 1 UNIDAD | . X 1. BRISTOL MYERS SQUIBB;BARRERA  DE COLOSTOMIA;12;1;23;;5
BARRERA DE COLOSTOMIA # 60 MM REF: 13191 1 UNIDAD | CAJA X 5. ORDENES Y SUMINISTROS;CURACIONES QUIRURGICAS;64;143;0;;34
BARRERA DE COLOSTOMIA 70 MM REF:400949 CX5 1 UNIDAD | . X 1. BRISTOL MYERS SQUIBB;BARRERA  DE COLOSTOMIA;4;16;0;;31
BCG INMUCYST 1,8X10,8-19,2X10,8 SOLUCION INYECTABLE | FRASCO X 1. UROCCIDENTE E.U;BACILO CALMETTE GUERIN/GLUTAMATO MONOSA;2;0;4;;2
BECLOMAR INHALADOR NASAL 50MCG AEROSOL | FRASCO X 200DOSIS. BIOTOSCANA;BECLOMETASONA DIPROPIONATO;14;39;0;;5231
BENZOATO DE BENCILO 30% LOCION | FRASCO X 120ML. TECNOQUIMICAS;BENCILO BENZOATO;5;10;0;;59
BETAHISTINA 8MG TABLETA | CAJA X 20. GEN-FAR S.A;BETAHISTINA;0;600;0;;32110
BETALOC ZOK 50mg TABLETA O GRAGEA | FRASCO X 30. ASTRA ZENECA;METOPROLOL SUCCINATO;360;600;120;;26760
BETAMETASONA  0.05% CREMA | TUBO X 20GR. LAFRANCOL;BETAMETASONA;26;69;0;;1886
BETAMETASONA 0.1% CREMA | TUBO X 40GR. GEN-FAR S.A;BETAMETASONA;110;213;7;;3779
BETAMETASONA 4MG/ML SOLUCION INYECTABLE | CAJA X 1. PROCAPS;BETAMETASONA;0;10;0;;1940
BETAMETASONA 8MG/2ML SOLUCION INYECTABLE | CAJA X 10. GEN-FAR S.A;BETAMETASONA;2;7;0;;5921
BETOPROLOL  50MG TABLETA O GRAGEA | CAJA X 30. ROPSOHN;METOPROLOL  TARTRATO;1223;30;2416;;7080
BIOSPORIN 50MG C¡PSULA | CAJA X 50. BIOTOSCANA;CICLOSPORINA;60;188;0;;625
BIPERIDENO 2MG TABLETA | CAJA X 100. TECNOQUIMICAS;BIPERIDENO;945;980;910;;123920
BLASKET 0.5 % SOLUCION OFTALMICAS | FRASCO X 5ML. BLASKOV;KETOTIFENO;28;27;29;;2974
BOLSA DE COLOSTOMIA 45 MM REF: 402533 CX10 1 UNIDAD | . X 1. BRISTOL MYERS SQUIBB;BOLSA DE COLOSTOMIA;12;1;23;;0
BOLSA DE COLOSTOMIA # 50 MM REF: 1692 1 UNIDAD | CAJA X 1. ORDENES Y SUMINISTROS;CURACIONES QUIRURGICAS;0;6;0;;19
BOLSA DE COLOSTOMIA 57 MM REF: 402534 CX10 1 UNIDAD | . X 1. BRISTOL MYERS SQUIBB;BOLSA DE COLOSTOMIA;21;18;24;;14
BOLSA DE COLOSTOMIA # 60 MM REF: 1693 1 UNIDAD | CAJA X 15. ORDENES Y SUMINISTROS;CURACIONES QUIRURGICAS;54;100;8;;142
BOLSA DE COLOSTOMIA 70 MM REF: 402535 CX10 1 UNIDAD | . X 1. BRISTOL MYERS SQUIBB;BOLSA DE COLOSTOMIA;7;10;4;;0
BOLSA DE DRENAJE UROSTOMIA #45REF 402550 C X 10 1 UNIDAD | . X 1. BRISTOL MYERS SQUIBB;BOLSA DE COLOSTOMIA;12;12;12;;8
BOLSA DE DRENAJE UROSTOMIA #57 REF 402551 1 UNIDAD | CAJA X 10. BOSTON MEDICAL DEVICES COLOMBI;BOLSA DE COLOSTOMIA;2;8;0;;16
BONAC 4% GEL O JALEA | TUBO X 30GR. SCANDINAVIA;ERITROMICINA;0;1;0;;243
BRILINTA 90mg TABLETA | CAJA X 30. ASTRA ZENECA;TICAGRELOR;0;100;0;;5490
BROMAZEPAN 6MG TABLETA | CAJA X 10. WINTHROOP;BROMAZEPAM;353;430;276;;6630
BROMOCRIPTINA 2.5MG TABLETA | CAJA X 240. CHALVER;BROMOCRIPTINA;720;897;543;;18346
